ORDER,FAMILY,GENUS,SPECIES,NUMB,SNST,STRAT,CNTAB,REL,MIN,QMIN,MAX,MIDPT-ELEV,QMAX,CP,RP,SUB,MICRO,NHAB,NZOO,HAB1,HAB2,HAB3,HAB4,HAB5,HAB6,HAB7,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,GAN,LAN,BSR,MPL,PAS,MAH,GCS,CDH,CHO,EPC,STP,NAN,CAN,SAN,NSA,TEP,AMN,AMS,CSA,ATL,PAM,PAT
PASSERIFORMES,TYRANNIDAE,Myiarchus,oberi,2644,M,M/C,HT?,F/U,0,,900,900,+,3,3,o,,1,1,F1,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,
PASSERIFORMES,TYRANNIDAE,Myiarchus,antillarum,2634,L,M/C,LT,U?,0,,800,800,+,3,3,PUE,,4,1,F7,N1,F14,F1,,,,Y,,,,,,Y,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,
PASSERIFORMES,TYRANNIDAE,Myiarchus,venezuelensis,2654,L,M/C,LT,F,0,,600,600,,4,3,ARC,,4,1,F7,F8,F15,N14,,,,,,,,,,Y,Y,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,
PASSERIFORMES,TYRANNIDAE,Myiarchus,semirufus,2648,M,M/C,LT,U,0,,500,500,+,3,2,MAN,,2,1,N1,F8,,,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,
PASSERIFORMES,TYRANNIDAE,Myiarchus,yucatanensis,2655,L,M/C,LT,F,0,,0,0,,4,3,YUC,,2,1,F7,F15,,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,
PASSERIFORMES,TYRANNIDAE,Myiobius,villosus,2492,H,U/M,UT,U,800,,2100,1300,,4,3,,,1,3,F4,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,Y,,,,,,,,,
PASSERIFORMES,TYRANNIDAE,Myiobius,atricaudus,2489,M,U/M,LT,U/P,0,,1400,1400,,4,2,,,3,8,F1,F8,F15,,,,,Y,,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,Y,,,,,Y,,Y,Y,Y,Y,,
PASSERIFORMES,TYRANNIDAE,Myiobius,sulphureipygius,2491,M,U/M,LT,F,0,,1200,1200,,4,3,,,3,2,F1,F8,F15,,,,,Y,,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,
PASSERIFORMES,TYRANNIDAE,Myiobius,barbatus,2490,H,U/M,LT,U,0,,900,900,,4,3,,,1,3,F1,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,Y,,
PASSERIFORMES,PARULINAE,Myioborus,torquatus,3744,M,M/C,MM,C,1400,,3500,2100,,4,3,CHR,,3,1,F4,F15,F5,,,,,,,,Y,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
PASSERIFORMES,PARULINAE,Myioborus,melanocephalus,3739,M,M/C,UM,C,2000,,3400,1400,,4,3,,,2,2,F4,F5,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,
PASSERIFORMES,PARULINAE,Myioborus,ornatus,3741,M,M/C,UM,C,1800,,3400,1600,,4,3,o,,2,1,F4,F5,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,
PASSERIFORMES,PARULINAE,Myioborus,albifrons,3734,H,M/C,UM,F/C,2200,,3200,1000,,4,3,VAN,,2,1,F4,F5,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,
PASSERIFORMES,PARULINAE,Myioborus,pictus,3743,M,U/M,MM,F,1100,,3100,2000,+,4,3,o,,2,1,F11,F10,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,
PASSERIFORMES,PARULINAE,Myioborus,(brunniceps) brunniceps,3735,M,M/C,UT,F,1400,,3000,1600,,4,3,,,3,2,F4,F7,F15,,,,,,,,Y,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,
PASSERIFORMES,PARULINAE,Myioborus,flavivertex,3738,M,M/C,MM,C,1500,,3000,1500,,3,2,SMT,,3,1,F4,F15,F5,,,,,,,,Y,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,
PASSERIFORMES,PARULINAE,Myioborus,miniatus,3740,L,M/C,UT,C,600,,2500,1900,,4,3,,,3,5,F4,F15,F11,,,,,,,,Y,,,,,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,Y,Y,,,Y,,,,,,
